Station Name (b'unitless'),TC ID (b'unitless'),Max Temperature (b'Celsius'),Min Temperature (b'Celsius'),Rain Amount (b'mm'),Snow Amount (b'cm'),Total Precipitation (b'mm'),record_high_temperature (b'Celsius'),record_low_temperature (b'Celsius'),record_snow_amount (b'cm'),wind_direction (b'code'),latitude (b'degree'),longitude (b'degree'),wind_gust_speed (b'km/h'),record_rain_amount (b'mm'),province (b'unitless'),creation_date_utc (b'unitless'),observation_date_utc (b'unitless'),license (b'unitless'),language (b'unitless'),hot_spot_location_canada (b'unitless'),cold_spot_location_canada (b'unitless'),hot_spot_location_province (b'unitless'),cold_spot_location_province (b'unitless'),observation_date_local_time (b'unitless'),climate_station_number (b'unitless'),wmo_station_number (b'unitless')
Dauphin Airport,YDN,-5.8,-9.2,,,0.0,3.7,-31.4,,,51.100833,-100.0525,,,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5040689,71036
Dauphin Climate,WZT,-6.0,-9.5,,,1.2,4.7,-34.2,4.0,,51.100389,-100.056889,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5040681,71550
Deerwood,XDW,-2.7,-7.6,,,0.0,2.5,-29.3,3.7,,49.399833,-98.31925,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5020725,71840
Emerson,WEX,-3.8,-5.3,,,0.0,3.9,-29.3,,,49.0,-97.2375,,,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5020881,71560
Fisher Branch,WSZ,-2.3,-5.8,,,0.5,4.2,-37.5,0.0,,51.083361,-97.5545,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,50309J6,71442
Flin Flon,WFO,-12.3,-16.5,,,4.4,2.4,-36.9,2.0,,54.683333,-101.683333,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5050919,71954
George Island,WWS,-4.9,-10.6,,,3.3,-1.2,-36.0,14.0,,52.818615,-97.616397,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5030984,71445
Gillam,WGX,-14.6,-18.5,,,2.7,-9.0,-37.8,0.0,,56.358897,-94.704173,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5060999,
Gillam Airport,YGX,-14.7,-18.7,0.0,4.0,4.4,-7.8,-42.7,9.0,,56.357778,-94.710833,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5061022,71912
Gimli,PGH,-2.7,-5.6,,,0,3.2,-40.0,,,50.633333,-97.05,,,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5031042,71748
